bias60,bias70,bias80,well_id,c_oracle,known_n,bias_mean
1132.8295666085799,38.80118134246751,23.613053497194915,398dce4b,-0.5,1839,398.4146004827474
202.75184599497473,81.29117649390952,-51.98898157294523,39b51819,-1.0,2151,77.35134697197968
242.95232052369593,39.271846343673175,-32.04859636116818,3a0af893,5.5,1653,83.3918568354003
1280.3320217121272,366.3539447404795,4.508499998089719,3a223519,-14.5,1998,550.3981554835656
382.2054160356054,68.22837614308368,27.961710528919795,3a7dd95d,-22.0,1248,159.46516756920298
259.4602289039145,-12.433455141732178,-2.0938415704776396,3a824aa7,-6.5,1477,81.64431073056824
-414.2792783501544,40.61051773767589,-100.1457546601003,3a86fe8d,-7.5,1454,-157.93817175752628
334.52353338815317,-33.55163291931484,-11.409732358679223,3aaa2b30,6.0,1685,96.52072270338637
322.62020035756154,-98.90939211028092,41.208407446856754,3ac16ad0,7.0,1763,88.30640523137913
1870.1222688509115,-164.41298598443015,-124.53327046069364,3b21ea64,7.0,1727,527.0586708019292
-85.52019852715634,448.24557238047095,137.33707858328955,3bbe1f5d,11.5,1266,166.68748414553474
352.1621083492082,-147.06965511204794,-2.841641412809236,3bfee975,-3.0,1485,67.41693727478368
1330.472585744042,-46.86013931292417,-8.98182196072025,3c3dbcbc,-5.0,1842,424.8768748234658
207.03602637450447,13.2277864126387,1.5931543638595618,3d96d897,0.0,1488,73.95232238366758
587.8976018381405,-188.79399279791963,24.62464643588957,3df4b19e,-7.0,1670,141.24275182537016
836.435294817659,578.9465681782781,-35.983538340732004,3e011332,6.5,2119,459.7994415517351
328.45087906719084,39.385521184219634,2.343747896859073,3e678ea7,13.0,1879,123.39338271608985
580.7390145089798,29.13686641788807,968.9796283149819,3ef6372a,1.0,1939,526.2851697472832
-19.463519911228403,43.93634173870817,-29.325160065756528,3ef98781,-7.0,1451,-1.617446079425586
1142.1932459665186,45.626682367674945,-56.47839261869918,3f603129,2.0,1548,377.1138452384981
1050.2418088649001,-126.11754453885582,-1.1159897343149119,404c4384,1.5,1701,307.6694248639098
993.8078379635602,-54.2050142804136,90.15236466230587,4121c517,5.0,1748,343.2517294484842
-76.11317771765738,35.381952848886584,-25.4536671843111,41fb0192,3.5,1408,-22.061630684360633
782.5654597978854,-22.469541423290114,82.99951389549607,42669188,-12.0,1798,281.0318107566971
75.97875385825219,-7.604449438984747,40.18836279586741,42c538a1,30.0,1483,36.187555738378286
1093.3382520612845,24.218165680483214,30.058589585691863,43b06c70,1.5,1744,382.53833577581986
-281.8935984524946,53.145747263262656,15.461716628919659,43c7f85a,-5.5,1506,-71.09537818677076
327.9669202258365,51.84387167262822,-91.66711548035146,43e16325,30.0,2125,96.04789213937107
311.5016436535679,47.810831406712985,49.39050032317418,44441e54,1.5,1211,136.23432512781835
167.2960536454613,169.83409013278091,-212.56051020265807,445af6c2,-25.0,1957,41.52321119186138
101.67965955140818,-31.551202526944802,-23.335301516348352,4463446c,7.5,1473,15.597718502705007
195.70083293839966,46.12322739718383,64.78806376674882,44a94013,-11.5,1589,102.2040413674441
689.2960177165282,279.2157169385522,64.36621843390293,45fb3e21,-13.5,1977,344.2926510296611
876.0650255697077,16.702677140381986,-7.1581774331980235,460f859e,3.5,1646,295.2031750922972
2157.363305248602,81.13319030854879,-8.084002776807274,4630ab92,-4.5,1934,743.4708309267812
221.24557844741344,-167.64841234816888,-17.692432969600173,463c38f2,-12.0,1588,11.968244376548128
165.7748702363461,57.074947308463,13.341477049424201,4654e7de,-3.0,1637,78.7304315314111
521.6458826946154,-1287.5597105892484,152.41297582133328,466fc788,6.5,1570,-204.50028402443328
194.35471411506373,-33.612715150121915,3.6524913013367533,46a301e9,-13.5,1736,54.79816342209286
59.879617900743305,-17.918049418301788,20.7141610091274,46a7190b,15.5,1431,20.891909830522973
468.67628820595263,55.03239040392272,97.54316418390408,46d24a09,18.0,1674,207.08394759792648
-6.988508691717988,-29.950785173468322,4.669872644712834,46d41ff6,-4.0,1325,-10.756473740157825
49.57396436195988,110.21504262764459,-6.889175506612453,46dfcfca,-6.5,1315,50.96661049433067
516.3931231594116,77.07273616266978,-5.831362489345191,47222616,0.0,1429,195.87816561091208
212.54355106015052,-42.10038936446784,20.530307255856492,47ee27ab,-4.0,1877,63.65782298384639
327.06783507852197,-10.034337824198035,28.068967158555598,481de5fc,-10.0,1742,115.03415480429318
620.8364223695261,67.80532620102015,-1.6142855322805865,48c1f673,11.5,1749,229.00915434608854
158.61258169434382,51.24092803581856,-25.703049990654474,4936af16,-4.0,1568,61.38348657983597
611.1326636782227,-15.585564773339064,9.934133004925942,493b5b31,12.0,2213,201.82707730326982
72.60736817612853,-14.56124372460031,16.6946193587796,49dbc14c,-2.5,1326,24.913581270102608
546.325157779725,94.98704004856677,44.14005779813554,4a035ec2,-8.5,1934,228.48408520880912
473.0742071566239,24.792100667458374,-63.61905094002788,4a335117,-6.5,1712,144.74908562801815
1365.0340914474714,-889.7070042075921,12.264990326820485,4a8ecc0b,0.5,1565,162.53069252223324
168.81099843031714,-74.53780223821113,15.765073233408092,4b462989,-10.5,1632,36.679423141838036
728.3493277157799,285.10854806628856,-65.57564334431689,4b831d20,-5.5,2121,315.9607441459172
771.6170757675692,-239.05398216238865,-25.02560990741493,4c2208f5,10.5,1864,169.1791612325885
324.5114642631368,-64.18677470426343,-34.26196639873209,4c3168cf,3.0,1625,75.35424105338043
330.7317537939756,-31.940982649463347,14.667029700696478,4c3df468,9.0,1511,104.48593361506958
-276.8046233021088,14.147202441962753,37.37730669206441,4caa7289,-0.5,1458,-75.09337138936054
3942.5466301707806,226.00444592932087,-177.59443042519712,4cd1ac61,7.0,2220,1330.3188818916349
701.9126784095937,214.254310778135,-105.26605262771878,4cecf7b3,-9.5,1657,270.30031218666994
858.7107391136333,-23.394619234011074,1.8197630558836637,4ddde4c1,-5.5,1945,279.0452943118353
-3698.642086901949,2.9821289951795182,5.024769844517101,4e050c92,-2.5,1531,-1230.211729354084
155.39688500475205,42.17485410919138,1.4970380462053605,4ed93db6,-4.0,1839,66.35625905338293
13.35092605407936,49.8851488793698,1.3243410223993408,4f3eb9e9,22.5,1214,21.520138651949498
676.0761897120927,-19.610892699840036,18.3526489758191,4f4ac5ce,4.5,1737,224.93931532935724
392.5104656539212,33.33443735972776,17.8113666329121,4f4afcc6,-0.5,1539,147.88542321552035
983.5543900680364,635.9695674323332,8.920370772356891,4f69febf,10.0,2139,542.8147760909088
324.1646132641641,-20.823363763572193,-83.63909802400646,4fbe9c06,-7.0,1651,73.23405049219514
896.2369396171665,29.526599193164508,27.462093259636788,504c8b08,-19.5,1645,317.74187735665595
1465.6809642377923,3.0506442375858005,-7.805226388681131,511e1db0,-9.0,1824,486.9754606955657
382.9586136557026,109.4144025993638,49.11593258525661,512943b2,-3.0,1652,180.49631628010766
100.6378429314256,109.26423245698597,4.682142561899099,5138a660,-4.5,1270,71.52807265010355
-3129.77463074103,-22.095886363414408,21.487490857900973,516088b7,-4.5,1655,-1043.461008748848
801.2983966261207,2022.9806085535736,1765.3672176689122,521a7819,-7.0,2024,1529.8820742828686
1318.6452340562964,-100.35549097582503,-117.62329215673934,5254b6db,10.5,1841,366.88881697457737
1155.9168692969838,-74.28600724671388,-16.951639014767512,529e88ca,3.5,1836,354.89307434516746
259.5330057977233,-13.304219501681732,13.331741486307486,52f1e77a,6.5,1611,86.5201759274497
205.6630187280217,-41.80783119369891,73.03613866438776,5305524b,-3.5,1559,78.96377539957018
1041.7554964098063,541.6819218429109,-107.67757476232138,53134831,-6.0,2088,491.9199478301319
243.04678633779434,-8.572910503045469,-29.534195342140062,5397ceb1,-6.5,1556,68.3132268308696
1168.8929629223283,93.30175012719039,-5.783129786154027,53f23031,2.0,1650,418.8038610877882
1189.3472399439183,-117.11217311502826,-39.744659237277155,543198e8,-0.5,1808,344.1634691972043
70.11786134514199,-1114.310778855536,-16.227117582119963,54753541,1.5,1653,-353.47334503083795
517.3253592089575,-269.2835053923779,-23.12454817635262,54a7e3c2,9.5,1738,74.97243521340899
659.8337481019275,-381.29850124334547,43.319726145668014,5542c301,3.5,1842,107.2849910014167
74.70891432855404,28.57629769671238,-8.556607576937015,5567d551,2.5,1501,31.57620148277647
