well_id,n,anchor_rmse,viterbi_rmse
3a86fe8d,5118,11.634711217695367,4.601835294888291
3aaa2b30,4711,17.520232328990414,22.763477704757968
3ac16ad0,5649,8.880546118495223,7.455708330240153
3b21ea64,7376,8.368949948322665,11.296262484669592
3bbe1f5d,6918,10.572803005133604,3.2608043617005293
3bfee975,3603,7.840543276658913,12.198601157161661
3c3dbcbc,5069,8.29349171896155,7.794768655083422
3d96d897,5659,3.6092906343486293,10.41592882725796
3df4b19e,4988,8.67249047497302,1.8498233568326268
3e011332,2723,17.42146062278745,9.534404741718902
3e678ea7,6858,10.229911981746914,25.41800677160813
3ef6372a,4727,6.229379944022544,4.588645486419828
3ef98781,3892,12.433878700657393,4.305791335954212
3f603129,5051,29.712176284154232,24.307075807061196
404c4384,911,3.6011694039210935,2.2244602695195472
4121c517,3723,11.223238561279205,10.001230316472938
41fb0192,2973,3.5577103110362645,3.447423603043724
42669188,4282,23.030677799344762,6.9671856713707
42c538a1,3279,26.18883109705342,28.16482340441167
43b06c70,4846,8.769342298126745,14.730385796157984
43c7f85a,5978,11.180370167514397,22.76158754233382
43e16325,3720,45.776662453735184,35.67464142015974
44441e54,4357,3.668929750345109,1.645231897431868
445af6c2,6041,29.954468486977532,32.011496474785034
4463446c,3256,18.86029305975226,16.72294186203116
44a94013,4903,23.26260921867206,11.044061038121502
45fb3e21,3649,25.15963005414619,27.50850371174892
460f859e,3336,20.01206991533264,21.627345352502594
4630ab92,3373,10.880550178687447,7.461544328037175
463c38f2,4460,6.316346789980795,11.31777121572362
4654e7de,5373,5.262206132576318,18.841675913226524
466fc788,6197,16.96677982284487,12.030974587454294
46a301e9,8226,10.714122960128444,23.96437493874363
46a7190b,4215,13.31037471543342,8.943469043333252
46d24a09,4449,21.034427197140683,30.5785455292541
46d41ff6,7901,7.152719312990992,4.720546351158564
46dfcfca,3606,23.306915931867923,39.820098155459384
47222616,4406,12.72802806095558,20.147266646777677
47ee27ab,6397,7.811133847911845,6.97998249199499
481de5fc,5952,13.661013098019078,5.691919672937405
48c1f673,2917,18.480143096264484,12.611515929570935
4936af16,3991,5.12683088404085,8.468173204960905
493b5b31,4671,20.806259253075513,19.390823990236775
49dbc14c,3872,5.472416193779096,4.742545711364382
4a035ec2,2588,18.37817503927824,3.994772395456375
4a335117,5015,25.01473417971471,33.310902841497665
4a8ecc0b,5809,11.211904800768597,25.94555071346127
4b462989,3106,6.605024585467642,9.952810460329536
4b831d20,7312,16.40332593479727,20.842104290157252
4c2208f5,5384,37.38188510729996,37.29185592626092
4c3168cf,4334,4.398564145674671,1.5554618625690277
4c3df468,5392,20.730613836474724,6.106877346671675
4caa7289,5396,9.679853283039389,16.3472901768689
4cd1ac61,4489,14.744577751415134,17.171790723050705
4cecf7b3,6019,8.796914734080126,12.707804321081486
4ddde4c1,4472,4.584881244279585,11.768728083828892
4e050c92,3705,6.760683545123174,6.1584584011374615
4ed93db6,4657,9.134304566059011,10.127394842924682
4f3eb9e9,4697,33.07892812639342,30.380099200678796
4f4ac5ce,5162,8.250612102027123,11.052170509705023
4f4afcc6,5645,8.324204115356522,11.3689081710889
4f69febf,5460,14.941245790403045,2.7140048095438605
4fbe9c06,6287,12.700621635010842,10.031939618139337
504c8b08,6367,20.6567768266876,4.9463832420903815
511e1db0,3821,2.646655635093415,12.992610259515322
512943b2,5029,4.032978673574936,2.5177306227166922
5138a660,3559,5.4780109058052355,4.8449520051868
516088b7,6645,6.371603205164532,6.735467264982587
521a7819,5200,25.361861575542044,38.776779623398205
5254b6db,3274,7.293881229520888,6.330105292783281
529e88ca,3417,15.265625031718603,15.33346834279181
52f1e77a,4442,14.174880875648114,29.010767826963114
5305524b,4898,16.63490369332069,10.654932530977346
53134831,5126,17.343954276390388,27.83350986842768
5397ceb1,5255,9.25091584943266,11.358433229253027
53f23031,8550,10.66798407051043,11.764343636798511
543198e8,6503,20.51495618405221,19.45656169293438
54753541,4026,16.22277834812335,23.305635490765066
54a7e3c2,6155,11.037762426443331,13.106215758289224
5542c301,3591,5.501114137426537,11.214572659408887
5567d551,6889,10.289492216812466,12.279078287645559
55efee7f,4801,25.83515609352923,28.227957667244603
5663b2b7,4972,16.28409405856329,6.075273805363839
5693dde2,3488,6.95783505375875,4.085035856299265
56b00794,6065,29.944728017238926,41.22641997402561
57796579,5890,12.813078334954168,6.923677922623451
577eec7c,4539,18.875287599886814,13.005806757266441
57f05c51,4771,36.3244551404309,42.65786536906497
58850d2c,4995,14.887955622671049,11.84392815049272
