well_id,fold,n_rows,rmse_e8,mae_e8,rmse_e9b,mae_e9b,d_rmse,d_mae,tw_known_gr_corr,n_known_gr,tw_group_size,shares_typewell
da2d4d7c,4,2114,2.471702191744141,1.9102152813413595,2.7247407160645394,2.352949887994276,0.2530385243203983,0.44273460665291653,0.7333539014669456,1254,1,False
da3bfe4e,4,5549,24.955758212878614,21.865954668023903,22.839374026191802,19.81775155123276,-2.116384186686812,-2.048203116791143,0.5895702404888052,974,1,False
da3cf798,2,5844,8.444463061642264,7.0703209958681015,8.333122899148224,6.9061903428521045,-0.11134016249403977,-0.16413065301599694,0.9007350328387341,1027,1,False
da940160,0,5132,4.414788183224191,3.118587103102678,3.3263623323403664,3.0064731334254415,-1.0884258508838247,-0.11211396967723664,0.8527359300800772,1287,1,False
dafc88c3,4,5572,12.584030993122049,11.4581716290695,14.20078089331662,12.985027343136608,1.6167499001945718,1.526855714067107,0.8116009184362205,1544,1,False
dbee6c86,3,7369,4.023421022633656,3.1808374343550376,5.032259229877305,4.259046163021577,1.0088382072436488,1.0782087286665396,0.8021547170391508,1653,1,False
dc5fbe29,0,5203,6.127452593330107,4.856988053913277,5.8845913590481755,4.362157605487945,-0.24286123428193118,-0.49483044842533186,0.9026747085683658,1081,1,False
dc7da28f,2,4774,19.19629406468655,15.696005409825458,14.654797646732767,11.779586730213122,-4.541496417953784,-3.9164186796123364,0.9473484798413043,1698,1,False
dc7f9757,3,4360,11.917243070541856,10.731291953127355,11.433278974115858,9.59271100908457,-0.48396409642599814,-1.1385809440427845,0.8236402394652129,1125,1,False
dd168de0,0,3304,3.609104465673941,3.192586544256751,4.000246393604089,3.65152409973177,0.39114192793014757,0.458937555475019,0.7759477726713504,1726,1,False
dd64382d,4,3124,3.922191753116334,2.304543419103847,4.559259967985242,2.7061101719833673,0.6370682148689082,0.40156675287952037,0.8887970472368991,961,1,False
dd6bc5b2,4,3602,4.731345772394929,4.183127720802561,5.030239208301993,4.305100420634415,0.29889343590706474,0.12197269983185421,0.9054358970089921,2053,1,False
dd7d638e,3,4301,3.3739149280144956,2.6465872057240167,9.106337890393945,8.764144574259593,5.73242296237945,6.117557368535576,0.8923754237486917,1315,1,False
ddc790ff,0,4726,10.695281456201096,10.062274163886716,8.780876455125506,8.05537289153042,-1.9144050010755898,-2.0069012723562967,0.8422609684870784,1014,1,False
df71d1ff,2,6228,13.321385705722935,11.057948507569156,17.941818722277915,14.17935676657115,4.62043301655498,3.121408259001994,0.717398706387725,1011,1,False
df73b8f3,0,5311,15.237328722627334,10.744225012458001,15.641589597688208,11.038973289980492,0.40426087506087427,0.29474827752249055,0.7455845145041844,819,1,False
df8290be,3,3972,8.814451394873045,7.217846310603402,8.573499579265393,7.195542859542701,-0.24095181560765155,-0.02230345106070164,0.7519949604690368,839,1,False
e0079ed1,3,3471,2.9696292378657954,2.4028874299192733,4.045798933573449,3.4578689304818506,1.0761696957076539,1.0549815005625773,0.8316392944443401,1400,1,False
e03b45fd,4,5342,14.832890133757719,11.254149617447068,15.53686298539727,12.424424843992378,0.703972851639552,1.1702752265453107,0.7436936206786233,1369,1,False
e0f36d98,4,4976,8.701982642266783,7.135933135394968,10.0073434677825,8.148228717821695,1.3053608255157165,1.0122955824267272,0.9285611739329572,1110,1,False
e149204f,4,6097,4.8547081230465725,3.5398170773823905,5.56427138111037,4.2133206730778605,0.7095632580637972,0.67350359569547,0.807182650143309,871,1,False
e14d641e,3,3184,12.209932029304657,10.920857543371778,7.6341988794032085,5.600545393739742,-4.575733149901448,-5.320312149632036,0.796052696476302,787,1,False
e161bd0c,3,2949,3.8236075862429724,3.2081436596098802,4.8267301678780195,3.9107284050956004,1.003122581635047,0.7025847454857201,0.7948226612466754,1222,1,False
e201fd6d,0,5070,17.394458061096774,13.748959177316518,16.853440441756728,13.560618261922123,-0.541017619340046,-0.18834091539439513,0.6025072981832345,1287,1,False
